coarse_template,frequency,template_length,cluster,unique_nsi_count,example_nsi_captions,subcluster,subcluster_id
PROPN + VERB + ADP + ADJ + NOUN,8,5,3,3,Jasmine speaks in foreign language | Liam speaks in foreign language | Mario yelling in slow-motion,1,3.1
NUM + NUM,8,2,3,7,5.5m | 1.8m | 120 m | 500 g | 8 g,1,3.1
PROPN + CCONJ + PROPN + NOUN,7,4,3,7,Kelly and Alyssa laughs | Mike and Barry laugh | Barry and Mike laugh | Barry and Jamie laugh | Rob and Kaitlin laugh,1,3.1
PROPN + CCONJ + PROPN,7,3,3,6,Ken and Matt | Barry and Jamie | Keith And Alex | Mike and Barry | Mike and Jamie,1,3.1
ADJ + VERB,6,2,3,6,"whooping, cheering | deep, distorted | loud chewing | urinal flushing | nervous chuckling",1,3.1
X + X + X,6,3,3,1,♪♪♪,1,3.1
ADV + ADV,5,2,3,4,Just then | All Together | quietly louder | also upward,1,3.1
PROPN + PROPN + PROPN,5,3,3,4,Liang Yumei / Miao | Bear Hugger snarls | bassy hip hop | Marlice Van Vurren,1,3.1
PROPN + PROPN + VERB,5,3,3,4,King Hippo noises | King Hippo roars | King Hippo growls | Lil Kim chuckles,1,3.1
PROPN + VERB + ADV,4,3,3,4,notes swoosh repeatedly | Sascha speaking nonsensically | Peele humming suggestively | Andrew laughs maniacally,1,3.1
ADJ + PROPN + NOUN,4,3,3,4,Central Miao Village | military march music | bright xylophone music | ambient electronica music,1,3.1
VERB + ADP + PROPN,4,3,3,2,speaking in Japanese | yelling in Chinese,1,3.1
PROPN + VERB + NOUN,3,3,3,3,Dan clears throat | Duncan kisses dog | Andrew blows raspberry,1,3.1
ADV + ADJ,3,2,3,3,(So cool) | (Just funny) | Super confident,1,3.1
ADJ + ADJ + VERB,3,3,3,3,"shrill whistle blows | Loud, eerie laughing | Ding, ding, ding",1,3.1
ADJ + VERB + NOUN,3,3,3,3,high-pitched voice | high-pitched singing | high pitched tone,1,3.1
PROPN + VERB + ADJ + NOUN,3,4,3,2,Fang speaks foreign language | Andrew blows short raspberry,1,3.1
ADP + ADJ,3,2,3,3,As Grassley | In Samoan | in Korean,1,3.1
ADP + PROPN + PROPN,3,3,3,2,by Robert Cristobal | As Ron Burgundy,1,3.1
PROPN + VERB + VERB,3,3,3,3,Riley muffled speaking | WIL CONTINUES HUMMING | Ryan imitates stuttering,1,3.1
PROPN + PART + ADJ + NOUN,3,4,3,3,&amp;AUDITION's first trainee | &amp;AUDITION's second trainee | &amp;AUDITION's sixth trainee,1,3.1
NOUN + PROPN + ADJ,3,3,3,1,hip hop instrumental,1,3.1
VERB + PROPN,2,2,3,2,Lay Lay | speaking Huttese,1,3.1
ADJ + ADJ + NOUN + VERB,2,4,3,2,Mid-tempo music plays | MIDDLE EASTERN MUSIC PLAYING,1,3.1
VERB + CCONJ + PROPN + VERB,2,4,3,1,Brad and Jessa laughing,1,3.1
ADJ + ADJ,2,2,3,2,"Dribble, dribble | Nervous, anxious",1,3.1
ADP + PROPN,2,2,3,2,with Betsy | As Graham,1,3.1
VERB + ADP + ADJ,2,3,3,2,speaks in Korean | Singing in Swedish,1,3.1
ADV + ADJ + NOUN,2,3,3,2,increasingly loud music | more sad music,1,3.1
ADJ + ADJ + ADJ + NOUN,2,4,3,2,"heavy industrial electronic music | cross-talking, general chatter",1,3.1
VERB + ADP + PROPN + PROPN + NOUN,2,5,3,1,POWERED BY SINGAPORE INTERNATIONAL FOUNDATION,1,3.1
X,2,1,3,2,ourbetterworld.org | c,1,3.1
PROPN + NOUN + ADV,2,3,3,2,"pan clunks loudly | gasps, chuckles softly",1,3.1
ADJ + NOUN + ADJ,2,3,3,2,"oboe playing meloncholy | Sad trombone, rimshot",1,3.1
PROPN + CCONJ + PROPN + VERB,2,4,3,1,Mike and Jamie laughing,1,3.1
PROPN + ADV + VERB,2,3,3,2,Lala angelically harmonizing | Richie nervously laughs,1,3.1
NOUN + ADJ,2,2,3,1,Blues Crooner,1,3.1
PROPN + CCONJ + ADJ + VERB,1,4,3,1,Eric and Melissa laughing,1,3.1
PROPN + CCONJ + ADJ + NOUN,1,4,3,1,Eric and Melissa laughs,1,3.1
ADJ + CCONJ + PROPN + PROPN,1,4,3,1,Melissa and Eric laughs,1,3.1
PROPN + NUM,1,2,3,1,Stan: 465.,1,3.1
VERB + PROPN + NUM,1,3,3,1,Coming November 2022!,1,3.1
ADJ + NOUN + NUM + ADJ,1,4,3,1,(Front row 100% satisfied),1,3.1
PROPN + NOUN + ADJ,1,3,3,1,"Laughter, audience ""oohs""",1,3.1
ADP + PROPN + NOUN,1,3,3,1,As Billy Idol,1,3.1
DET + ADJ + NUM,1,3,3,1,A whopping... 68%!,1,3.1
ADV + NUM + PART + ADJ + NOUN,1,5,3,1,Round 4's special mission!,1,3.1
CCONJ + ADJ + CCONJ + NOUN,1,4,3,1,Both vocal and performance,1,3.1
PROPN + ADV + VERB + ADJ,1,4,3,1,HIKARU also looks surprised,1,3.1
PROPN + PROPN + PROPN + PROPN,1,4,3,1,dog bark dog bark,1,3.1
PROPN + ADJ,1,2,3,1,RnB instrumental,1,3.1
PRON + AUX + ADJ,1,3,3,1,That was easy.,1,3.1
ADJ + VERB + VERB,1,3,3,1,high pitched screeching,1,3.1
X + X + PROPN + PROPN,1,4,3,1,Ou Di Wan Lee,1,3.1
X + PROPN,1,2,3,1,Lei Kugo,1,3.1
PART,1,1,3,1,to,1,3.1
X + ADP + PROPN,1,3,3,1,Tribu Ni Bro,1,3.1
PRON + ADJ + NOUN,1,3,3,1,Our Better World,1,3.1
ADJ + SCONJ + ADJ + SCONJ,1,4,3,1,"subtle: ""How bout that""",1,3.1
PROPN + PRON + ADJ,1,3,3,1,ss:its safe,1,3.1
PROPN + ADV + ADJ,1,3,3,1,ss:30% more expensive,1,3.1
PRON + AUX + PROPN,1,3,3,1,It's Thursday,1,3.1
PART + ADV + ADJ + PROPN + PROPN + CCONJ + PRON + NOUN,1,8,3,1,“not-so-special” Mr. Saitou and his friends,1,3.1
ADJ + PROPN,1,2,3,1,ELECTRIC HUM,1,3.1
ADJ + NOUN + ADV,1,3,3,1,Amy grunts angrily,1,3.1
ADJ + ADP,1,2,3,1,WARM UP,1,3.1
X + NOUN + ADJ,1,3,3,1,♪ music ♪,1,3.1
VERB + PROPN + PROPN + VERB,1,4,3,1,"upset mew, Hannah laughing",1,3.1
ADJ + NUM,1,2,3,1,Terrorist 2,1,3.1
PROPN + PROPN + ADJ + NOUN,1,4,3,1,Laughter &amp; Inaudible Remarks,1,3.1
PROPN + VERB + PROPN + PROPN,1,4,3,1,Mike imitates Hank Hill,1,3.1
ADJ + ADJ + NOUN + ADP + PROPN,1,5,3,1,special black vinegar from Coorg,1,3.1
PROPN + PROPN + ADJ,1,3,3,1,Indian white sweet,1,3.1
SCONJ + ADJ + ADJ + NOUN + ADV + VERB,1,6,3,1,although several other versions also exist,1,3.1
SCONJ + ADJ + PROPN,1,3,3,1,except Saint Peter,1,3.1
PROPN + ADP + NOUN,1,3,3,1,Ben on Video,1,3.1
PROPN + PRON + AUX + ADV + ADV,1,5,3,1,Haha! They're finally here,1,3.1
PROPN + PART + NOUN,1,3,3,1,EJ's cuteness,1,3.1
NOUN + PRON + NUM,1,3,3,1,Phew =333,1,3.1
SCONJ + SCONJ,1,2,3,1,"Where, where?",1,3.1
PRON + AUX + ADV + ADJ + PROPN,1,5,3,1,He's so cute ♥,1,3.1
INTJ + PRON + AUX + ADJ,1,4,3,1,Wow... He's tall,1,3.1
PROPN + PART + ADJ + NOUN + PROPN,1,5,3,1,"&amp;AUDITION's 11th trainee, JO",1,3.1
PROPN + DET + ADJ + NOUN,1,4,3,1,"HIKARU, the shy trainee",1,3.1
ADV + ADP + AUX + ADJ,1,4,3,1,Back to being shy,1,3.1
PROPN + PRON + NUM,1,3,3,1,Scurry =333,1,3.1
PRON + PART + ADJ,1,3,3,1,Everyone's startled,1,3.1
CCONJ + ADJ + AUX,1,3,3,1,And next is...,1,3.1
PROPN + VERB + NUM + NOUN,1,4,3,1,K received 9 &amp;BALLs,1,3.1
VERB + ADV + ADJ,1,3,3,1,SCREAMING STILL AUDIBLE,1,3.1
PROPN + INTJ,1,2,3,1,Sean: Okay.,1,3.1
PROPN + PRON + AUX + ADV + ADJ,1,5,3,1,Sean: That was really good.,1,3.1
NOUN + PROPN,1,2,3,1,tires screech,1,3.1
PROPN + VERB + ADP + PROPN,1,4,3,1,Andrew blows on caramel,1,3.1
PUNCT,1,1,3,1,~,1,3.1
INTJ + INTJ,1,2,3,1,"quack, quack",1,3.1
CCONJ,1,1,3,1,and,1,3.1
PROPN + ADJ + NOUN + VERB,1,4,3,1,upbeat electronic music continues,1,3.1
PROPN + PROPN + PROPN + NOUN,1,4,3,1,GRIAN &amp; PIX laugh,1,3.1
ADJ + VERB + ADV,1,3,3,1,vial beeping rapidly,1,3.1
PROPN + INTJ + NOUN,1,3,3,1,vine quote intensifies,1,3.1
PROPN + ADJ + VERB,1,3,3,1,"Oona, high-pitched",1,3.1
VERB + ADJ + ADJ,1,3,3,1,swelling suspenseful synth,1,3.1
PROPN + PROPN + ADP + PROPN,1,4,3,1,"""Rap God"" by Eminem",1,3.1
PROPN + CCONJ + VERB,1,3,3,1,Ryan and Ahmed,1,3.1
ADJ + CCONJ + VERB,1,3,3,1,Ohs and cheering,1,3.1
VERB + ADP + ADJ + NOUN,51,4,4,4,speaks in foreign language | speaking in foreign language | Singing in native language | singing in foreign language,2,4.2
NOUN + VERB + ADP + ADJ + NOUN,21,5,4,7,Melody speaks in foreign language | children speak in foreign languages | girl speaks in foreign language | children speak in foreign language | Soshiko speaks in foreign language,1,4.1
ADP + DET + ADJ,8,3,4,1,as the Other,3,4.3
ADP + DET + NOUN,6,3,4,4,ON THE PHONE: | In a trance | To the max | At that moment,2,4.2
DET + ADJ + NOUN,6,3,4,6,A tasty bite | The Sundown Kid | a soft drink | A confident greeting | The next day,3,4.3
ADP + ADJ + NOUN,5,3,4,1,in slow motion,3,4.3
PRON + AUX + DET + NOUN,3,4,4,3,"What's that sound? | What's the result? | This is a ""dish""",4,4.4
NOUN + ADP + ADJ + NOUN,3,4,4,3,Man In Gray Jacket | Enters with overflowing confidence | greetings in foreign language,1,4.1
ADJ + NOUN + ADP + NOUN,3,4,4,3,indistinct answers from audience | Fake crying of joy | External funding for science,1,4.1
ADP + DET + ADJ + NOUN,2,4,4,2,After the special mission | During the stable performance,3,4.3
DET + ADV + ADJ + NOUN,2,4,4,2,A very envious moment | A very important part,3,4.3
ADP + VERB + ADJ + NOUN,2,4,4,2,TJ speaks foreign language | After having different dreams,3,4.3
NOUN + VERB + ADP + DET + NOUN,2,5,4,2,police sirens in the distance | DOOR BANGING TO THE BEAT,2,4.2
PRON + AUX + DET + NOUN + ADP + VERB + ADP + DET + NOUN,1,9,4,1,It is the strength of fighting against the threat,4,4.4
NOUN + ADP + DET + ADJ,1,4,4,1,growls as the Other,2,4.2
DET + NOUN + NOUN + AUX + ADP + DET + NOUN,1,7,4,1,The dance machine's on the floor,1,4.1
VERB + PRON + ADP + DET + NOUN,1,5,4,1,Losing himself in the moment,2,4.2
VERB + ADV + ADP + DET + NOUN,1,5,4,1,Painting meticulously to the rhythm,2,4.2
VERB + NOUN + CCONJ + ADP + DET + NOUN,1,6,4,1,leave comments and like the video,2,4.2
NOUN + ADP + ADJ + NUM + PART + NOUN,1,6,4,1,Announcement for Round 4's mission,1,4.1
PRON + AUX + DET + NOUN + ADP + NOUN + PROPN,1,7,4,1,What is the song for Team B?,4,4.4
NOUN + ADJ + ADP + NOUN,1,4,4,1,#Mouth full of pizza,1,4.1
PROPN + VERB + ADP + ADP + DET + ADJ + NOUN,1,7,4,1,GAKU starts off with a steady voice,2,4.2
DET + ADJ + NOUN + ADP + NOUN + VERB + ADV + ADV,1,8,4,1,A strict evaluation for Team B as well,1,4.1
VERB + DET + ADJ + NOUN,1,4,4,1,playing a few chords,3,4.3
CCONJ + DET + ADV + VERB + NOUN + ADP + NOUN,1,7,4,1,and a funny-looking dog to boot,1,4.1
DET + NOUN + VERB + DET + VERB + NUM + NUM + PART + NUM + NUM + ADJ + NOUN + VERB + ADP + NUM + NOUN + ADJ + NOUN,1,18,4,1,"The Philippines has an estimated 14 million to 17 million indigenous people, belonging to 110 ethno-linguistic groups.",1,4.1
NOUN + ADP + NOUN + ADJ + NOUN + CCONJ + NOUN + AUX + DET + NOUN + ADP + PRON + VERB + ADP + ADJ + NOUN,1,16,4,1,"Access to education, nutrituous meals, and jobs is a challenge for those living in remote regions.",1,4.1
DET + PRON + ADJ + NOUN + NOUN,1,5,4,1,an Our Better World story,3,4.3
PROPN + VERB + NOUN + ADP + PROPN + ADP + NUM + SCONJ + DET + NOUN + NOUN + ADP + DET + ADJ + NOUN + VERB + PRON + NOUN + ADP + PRON + NOUN,1,21,4,1,"Bimboy founded Tribu Ni Bro in 2008, after an outreach trip to a tribal region opened his eyes to their needs.",1,4.1
NOUN + ADP + DET + NOUN,1,4,4,1,"""Hail to the Chief""",2,4.2
NOUN + ADP + DET + ADJ + NOUN,1,5,4,1,Science for the public good,2,4.2
DET + ADJ + NOUN + ADP,1,4,4,1,"The ""special"" adventures of",3,4.3
ADJ + NOUN + VERB + ADP + DET + NOUN + NOUN,1,7,4,1,Next set looks like a hospital ward!,2,4.2
PROPN + NOUN + VERB + ADP + DET + ADJ + NOUN,1,7,4,1,j-hope pulls off the difficult scene!,2,4.2
PROPN + VERB + DET + ADJ + NOUN + ADP + DET + ADJ,1,8,4,1,V joins the other mannequins as an extra,3,4.3
VERB + VERB + DET + NOUN + ADP + NOUN,1,6,4,1,Finishes filming the scene with V!,1,4.1
VERB + ADP + DET + ADJ + NOUN + ADP + PRON + ADJ + NOUN,1,9,4,1,Puts on a new hat for his last scenes!,1,4.1
ADJ + NOUN + CCONJ + ADP + DET + NOUN + DET + NOUN,1,8,4,1,Same scene but without the hat this time,2,4.2
NOUN + PROPN + AUX + PART + VERB + DET + ADJ + NOUN,1,8,4,1,Glass Joe is not having a good day,3,4.3
NOUN + ADP + DET + NOUN + NOUN + NOUN,1,6,4,1,"""Tales from the Crypt"" theme plays",2,4.2
DET + ADJ + NOUN + VERB + ADP,1,5,4,1,The first trainee shows up,3,4.3
VERB + ADP + DET + ADJ + NOUN,1,5,4,1,Followed by a quick scan,2,4.2
AUX + DET + ADJ + NOUN + ADJ + ADV,1,6,4,1,Is the second trainee older too?,3,4.3
PRON + AUX + PART + VERB + DET + NOUN + ADP + PRON + NOUN,1,9,4,1,He can't hide a tremor in his voice,4,4.4
AUX + PRON + ADP + DET + ADJ,1,5,4,1,Is he about this tall?,3,4.3
DET + NOUN + VERB + ADP + PRON + NOUN,1,6,4,1,The members show off their charm,1,4.1
ADJ + ADP + NOUN,1,3,4,1,Double under crossover,3,4.3
ADV + ADV + AUX + DET + ADJ + NOUN,1,6,4,1,Next up is the worrisome (?) trainee,3,4.3
DET + ADJ + NOUN + PART + ADJ + NOUN,1,6,4,1,The worrisome trainee's powerful dance,3,4.3
SCONJ + AUX + DET + ADJ + NOUN + VERB,1,6,4,1,Where did the shy trainee go?,3,4.3
ADJ + ADP + DET + NOUN,1,4,4,1,Graceful like a swan,2,4.2
PRON + AUX + DET + ADJ + NOUN + PROPN + PART + NOUN,1,8,4,1,"What's the mature one, FUMA's specialty?",4,4.4
VERB + NUM + NOUN + ADP + ADJ + NOUN,1,6,4,1,requiring 15 members in perfect sync,1,4.1
DET + NOUN + ADP + ADJ + NUM + PART + NOUN,1,7,4,1,The morning of Round 1's performance,1,4.1
DET + NOUN + AUX + ADJ,1,4,4,1,The producers are amazed,3,4.3
NOUN + NOUN + DET + ADJ + NOUN,1,5,4,1,Sakura checks every little detail,3,4.3
DET + NOUN + AUX + VERB + ADP + NOUN,1,6,4,1,The room is filled with tension,1,4.1
PROPN + AUX + DET + NOUN + ADJ + PART + VERB + PRON + NOUN,1,9,4,1,YEJUN was a bit late to raise his hand,3,4.3
PRON + AUX + DET + NOUN + ADP,1,5,4,1,What are these lockers for?,4,4.4
PRON + ADP + DET + NOUN + AUX + PRON + ADP,1,7,4,1,What in the world is this for?,2,4.2
ADP + DET + ADJ + NUM + NOUN,1,5,4,1,than the first two producers,3,4.3
ADV + ADJ + ADP + VERB + DET + NOUN,1,6,4,1,Too afraid of making a mistake,2,4.2
VERB + ADP + DET + NOUN,1,4,4,1,Shaking like a leaf,2,4.2
PRON + AUX + NOUN + PART + VERB + NOUN + ADP + DET + NOUN,1,9,4,1,It's time to put &amp;BALLs in the &amp;RING,4,4.4
PRON + AUX + DET + NOUN + NOUN,1,5,4,1,What is a concept mission?,4,4.4
DET + NOUN + ADP + INTJ + NOUN,1,5,4,1,"A song from ""MJ"" album.",1,4.1
DET + NOUN + ADP + DET + NOUN + ADV,1,6,4,1,"A song from the movie, ""SACHIN"".",1,4.1
DET + NOUN + ADP + DET + NOUN + NOUN,1,6,4,1,"A song from the movie, ""VEDHALAM""",1,4.1
DET + NOUN + ADP + DET + NOUN + PROPN,1,6,4,1,"A song from the movie, ""BAASHA"".",1,4.1
ADP + DET + NOUN + ADJ,1,4,4,1,with the peel intact,2,4.2
VERB + DET + ADJ + NOUN + NOUN,1,5,4,1,Getting a random Proof card,3,4.3
